Generation,Max Fitness,Avg Fitness,Alive Count
1,9.9,-4.326666666666658,0
2,19.9,1.9433333333333327,0
3,29.9,5.0966666666666685,0
4,69.9,7.973333333333339,0
5,9.9,0.49000000000000127,0
6,24.7,3.6033333333333357,0
7,29.9,5.350000000000005,0
8,39.9,7.9166666666666705,0
9,129.9,13.236666666666672,0
10,119.9,18.063333333333333,0
11,99.9,18.11333333333333,0
12,89.9,14.826666666666659,0
13,74.9,13.60333333333333,0
14,39.9,10.866666666666664,0
15,29.9,2.1766666666666685,0
16,69.9,12.436666666666667,0
17,54.9,10.133333333333336,0
18,39.9,6.703333333333337,0
19,44.9,9.249999999999998,0
20,199.1,31.83,0
21,119.9,17.92666666666666,0
22,39.9,5.19333333333334,0
23,89.8,15.95,0
24,224.9,21.266666666666666,0
25,84.9,11.25,0
26,49.9,10.326666666666664,0
27,104.9,8.67333333333334,0
28,79.9,17.60666666666665,0
29,64.9,14.826666666666657,0
30,99.9,27.27333333333332,0
31,19.9,0.4666666666666686,0
32,29.9,7.17666666666667,0
33,29.9,4.64666666666667,0
34,29.9,2.486666666666669,0
35,19.9,-0.5899999999999986,0
36,19.9,1.7533333333333339,0
37,9.9,-0.1766666666666655,0
38,39.9,3.186666666666667,0
39,19.9,1.733333333333333,0
40,14.899999999999999,1.756666666666667,0
41,39.9,6.4500000000000055,0
42,49.9,12.77666666666666,0
43,9.9,1.9766666666666668,0
44,84.9,12.403333333333336,0
45,44.9,6.143333333333337,0
46,44.9,4.230000000000005,0
47,34.9,8.113333333333337,0
48,9.9,1.2133333333333332,0
49,74.9,9.400000000000002,0
50,109.9,20.253333333333323,0
51,59.9,11.44333333333333,0
52,94.9,17.58333333333333,0
53,59.9,15.083333333333325,0
54,119.9,21.916666666666668,0
55,59.9,17.40999999999999,0
56,89.9,16.82666666666666,0
57,59.9,9.946666666666662,0
58,59.9,8.660000000000004,0
59,59.9,15.186666666666662,0
60,59.9,5.7533333333333365,0
61,69.9,9.496666666666671,0
62,104.9,15.216666666666663,0
63,19.9,2.9600000000000026,0
64,39.9,11.319999999999999,0
65,169.9,11.15333333333334,0
66,49.9,9.256666666666664,0
67,84.9,7.300000000000007,0
68,39.9,11.226666666666661,0
69,84.9,13.20666666666666,0
70,59.9,16.27666666666666,0
71,149.9,21.493333333333325,0
72,84.9,12.733333333333329,0
73,99.9,13.159999999999995,0
74,44.9,9.810000000000002,0
75,79.9,19.066666666666663,0
76,84.9,16.476666666666663,0
77,109.9,16.749999999999996,0
78,49.9,12.44666666666666,0
79,114.9,17.509999999999994,0
80,69.9,13.493333333333323,0
81,119.9,12.07666666666666,0
82,19.9,0.8266666666666673,0
83,29.9,3.6600000000000015,0
84,59.9,7.780000000000002,0
85,29.9,4.443333333333336,0
86,29.9,1.4466666666666663,0
87,19.9,0.37333333333333485,0
88,99.9,19.603333333333328,0
89,84.9,12.34666666666666,0
90,29.9,4.613333333333335,0
91,59.9,14.066666666666656,0
92,39.9,5.420000000000004,0
93,59.9,21.733333333333327,0
94,34.9,6.660000000000005,0
95,19.9,0.44333333333333586,0
96,29.9,3.533333333333334,0
97,9.9,-0.013333333333332253,0
98,9.9,-0.653333333333332,0
99,9.9,-0.7499999999999979,0
100,19.9,2.5100000000000002,0
