Generation,Max Exploration,Avg Exploration,Alive Count
1,985.7600000000198,139.52933333333306,1
2,2056.6400000000303,471.8933333333378,3
3,2952.120000000027,649.8546666666738,4
4,2248.1600000000335,762.3053333333439,2
5,3380.400000000023,1155.1080000000136,3
6,3794.5600000000286,947.1733333333418,4
7,3159.600000000032,1088.3893333333424,1
8,3346.6400000000262,1138.7653333333483,4
9,2740.5200000000327,984.12666666668,3
10,2375.520000000032,874.8280000000128,2
11,2404.680000000034,896.6266666666761,2
12,4070.000000000029,1647.1373333333493,6
13,3244.840000000024,972.0360000000074,2
14,3344.400000000026,1089.6986666666767,2
15,3210.800000000031,919.6706666666705,1
16,3069.000000000031,845.6133333333452,1
17,2327.520000000033,270.95066666667054,2
18,2374.8800000000165,1001.5613333333434,2
19,2277.720000000018,949.6053333333432,1
20,3613.960000000029,1104.1893333333428,3
21,3693.2000000000294,529.5226666666716,1
